Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
129	8.544	24.304	1118	1.366	19.571	18.095	760	0.770	18.095	0.564	19.571	822.000	1.100	19.571	18.095	760	0.770	18.095	0.700	43.476	1826	1.278	43.476	50.119	2105	1.263	50.119	0.989
130	9.068	20.071	843.000	1.154	15.214	18.381	772	0.801	18.381	0.695	15.214	639	0.874	15.214	18.381	772	0.801	18.381	0.916	42.286	1776	1.259	42.286	43.881	1843	1.100	43.881	0.873
131	8.975	18.283	841.000	1.053	17.833	19.310	811	0.838	19.310	0.796	17.833	749	1.027	17.833	19.310	811	0.838	19.310	0.816	48.143	2022.000	1.431	48.143	46.619	1958	1.165	46.619	0.814
132	8.433	16.442	707	0.940	15.786	20.857	876	0.903	20.857	0.961	15.786	663	0.903	15.786	20.857	876	0.903	20.857	1.000	31.881	1339	0.938	31.881	33.524	1408	0.834	33.524	0.890
133	8.333	18.333	770	1.017	14.405	16.095	676	0.679	16.095	0.668	14.405	605	0.799	14.405	16.095	676	0.679	16.095	0.850	48.214	2025	1.397	48.214	33.476	1406	0.837	33.476	0.599
134	6.749	19.838	734	1.086	18.381	18.524	778.000	0.776	18.524	0.714	18.381	772	1.007	18.381	18.524	778.000	0.776	18.524	0.771	57.381	2410	1.659	57.381	51.881	2179	1.304	51.881	0.786
135	6.872	29.559	1005	1.642	27.952	22.381	940	0.943	22.381	0.574	27.952	1174	1.553	27.952	22.381	940	0.943	22.381	0.607	37.405	1571	1.109	37.405	44.429	1866	1.111	44.429	1.001
136	7.196	20.189	747	1.121	16.548	28.714	1206	1.206	28.714	1.076	16.548	695	0.919	16.548	28.714	1206	1.206	28.714	1.313	66.524	2794	1.946	66.524	44.762	1880	1.123	44.762	0.577
137	7.379	20.432	756	1.172	19.476	16.595	697	0.726	16.595	0.620	19.476	818.000	1.117	19.476	16.595	697	0.726	16.595	0.650	49.119	2063	1.438	49.119	38.429	1614	0.956	38.429	0.665
138	7.280	19.946	738	1.170	11.524	20.857	876	0.924	20.857	0.790	11.524	484	0.676	11.524	20.857	876	0.924	20.857	1.368	61.262	2573	1.823	61.262	42.786	1797	1.063	42.786	0.583
139	9.871	18.538	964.000	1.095	11.643	16.548	695	0.744	16.548	0.679	11.643	489	0.688	11.643	16.548	695	0.744	16.548	1.081	35.762	1502	1.067	35.762	32.643	1371.000	0.810	32.643	0.759
140	8.062	14.979	704	0.892	12.262	20.429	858.000	0.922	20.429	1.034	12.262	515	0.730	12.262	20.429	858.000	0.922	20.429	1.263	44.524	1870	1.331	44.524	39.381	1654	0.973	39.381	0.731
141	6.009	8.968	278	0.543	14.405	17.833	749	0.818	17.833	1.507	14.405	605	0.872	14.405	17.833	749	0.818	17.833	0.938	42.119	1769	1.287	42.119	45.643	1917.000	1.120	45.643	0.870
142	6.708	20.333	732	1.235	23.667	15.548	653	0.718	15.548	0.582	23.667	994	1.438	23.667	15.548	653	0.718	15.548	0.500	27.310	1147	0.833	27.310	38.643	1623.000	0.951	38.643	1.142
143	5.696	13.250	318	0.799	14.286	20.310	853	0.932	20.310	1.167	14.286	600	0.861	14.286	20.310	853	0.932	20.310	1.082	35.095	1474	1.072	35.095	45.976	1931	1.132	45.976	1.056
144	7.008	24.056	866	1.491	21.190	18.571	780.000	0.882	18.571	0.591	21.190	890	1.314	21.190	18.571	780.000	0.882	18.571	0.671	39.952	1678.000	1.223	39.952	45.976	1931	1.128	45.976	0.923
145	6.708	21.200	636	1.323	17.310	16.452	691	0.785	16.452	0.593	17.310	727	1.080	17.310	16.452	691	0.785	16.452	0.727	34.619	1454	1.074	34.619	48.024	2017	1.174	48.024	1.093
146	5.821	13.963	377	0.861	17.262	15.619	656	0.731	15.619	0.849	17.262	725	1.065	17.262	15.619	656	0.731	15.619	0.686	41.548	1745.000	1.264	41.548	39.548	1661.000	0.970	39.548	0.768
147	6.263	10.607	297	0.655	15.595	16.738	703	0.790	16.738	1.206	15.595	655	0.963	15.595	16.738	703	0.790	16.738	0.820	42.429	1782	1.312	42.429	42.762	1796	1.046	42.762	0.797
148	7.803	18.244	748.000	1.156	16.238	16.857	708	0.825	16.857	0.714	16.238	682	1.029	16.238	16.857	708	0.825	16.857	0.802	40.357	1695.000	1.272	40.357	51.524	2164	1.260	51.524	0.991
149	7.491	19.293	791	1.176	12.833	18.048	758	0.836	18.048	0.711	12.833	539	0.782	12.833	18.048	758	0.836	18.048	1.069	35.667	1498	1.088	35.667	53.095	2230	1.313	53.095	1.206
150	6.749	61.290	1900	1.891	44.857	20.762	872	0.961	20.762	0.508	16.952	712	1.032	16.952	20.762	872	0.961	20.762	0.931	44.857	1884.000	1.384	44.857	46.786	1965	1.144	46.786	0.827
151	7.608	44.894	2110	1.407	39.381	21.190	890	1.016	21.190	0.722	18.786	789	1.175	18.786	21.190	890	1.016	21.190	0.865	39.381	1654	1.234	39.381	55.857	2346	1.359	55.857	1.101
152	9.551	46.870	2531	1.457	43.405	14.952	628	0.695	14.952	0.477	16.048	674	0.985	16.048	14.952	628	0.695	14.952	0.706	43.405	1823	1.349	43.405	45.262	1901	1.099	45.262	0.815
153	8.138	55.455	2440	1.736	56.190	13.476	566	0.654	13.476	0.377	16.571	696.000	1.048	16.571	13.476	566	0.654	13.476	0.624	56.190	2360	1.759	56.190	45.381	1906	1.101	45.381	0.626
154	7.491	20.390	836	1.300	27.310	17.548	737	0.857	17.548	0.659	27.310	1147	1.741	27.310	17.548	737	0.857	17.548	0.492	53.024	2227	1.664	53.024	47.762	2006	1.159	47.762	0.697
155	6.119	10.314	361	0.656	12.333	17.286	726	0.841	17.286	1.282	12.333	518	0.784	12.333	17.286	726	0.841	17.286	1.072	43.762	1838	1.371	43.762	45.571	1914	1.110	45.571	0.810
156	6.412	19.821	773	1.250	13.452	17.119	719	0.820	17.119	0.656	13.452	565	0.849	13.452	17.119	719	0.820	17.119	0.966	39.381	1654	1.225	39.381	46.405	1949	1.127	46.405	0.920
157	11.949	41.086	2383	1.325	48.190	19.190	806	0.967	19.190	0.730	12.333	518	0.809	12.333	19.190	806	0.967	19.190	1.195	48.190	2024	1.554	48.190	55.810	2344	1.354	55.810	0.871
158	9.487	44.146	2119	1.430	43.310	18.786	789	0.940	18.786	0.657	14.143	594	0.923	14.143	18.786	789	0.940	18.786	1.018	43.310	1819	1.403	43.310	47.857	2010.000	1.161	47.857	0.828
159	10.760	30.130	1386	0.979	36.024	17.500	735	0.861	17.500	0.880	10.786	453.000	0.695	10.786	17.500	735	0.861	17.500	1.238	36.024	1513	1.170	36.024	57.810	2428	1.407	57.810	1.203
160	8.667	38.721	1665	1.212	43.714	18.286	768	0.871	18.286	0.719	18.286	768	1.149	18.286	18.286	768	0.871	18.286	0.758	43.714	1836	1.368	43.714	69.857	2934	1.694	69.857	1.238
161	8.544	33.211	1262	1.053	39.262	22.476	944.000	1.101	22.476	1.045	16.929	711.000	1.089	16.929	22.476	944.000	1.101	22.476	1.011	39.262	1649	1.245	39.262	63.643	2673	1.546	63.643	1.242
162	8.055	49.326	2269	1.557	33.214	18.690	785	0.893	18.690	0.574	19.929	837.000	1.258	19.929	18.690	785	0.893	18.690	0.710	33.214	1395	1.048	33.214	51.571	2166	1.254	51.571	1.196
163	8.667	59.349	2552	1.864	45.119	14.357	603	0.687	14.357	0.369	14.333	602	0.903	14.333	14.357	603	0.687	14.357	0.761	45.119	1895	1.417	45.119	46.143	1938.000	1.119	46.143	0.790
164	8.667	31.022	1427	0.998	31.524	16.286	684	0.791	16.286	0.792	13.429	564	0.860	13.429	16.286	684	0.791	16.286	0.920	31.524	1324	1.015	31.524	42.262	1775	1.021	42.262	1.006
165	7.775	23.444	844	0.752	27.929	11.690	491	0.570	11.690	0.758	13.310	559	0.856	13.310	11.690	491	0.570	11.690	0.666	27.929	1173	0.896	27.929	52.667	2212	1.276	52.667	1.424
166	6.566	24.645	764	0.796	27.357	12.500	525	0.619	12.500	0.778	13.881	583	0.899	13.881	12.500	525	0.619	12.500	0.688	27.357	1149	0.883	27.357	50.929	2139	1.231	50.929	1.394
167	7.951	26.650	1066	0.868	38.167	11.476	482	0.583	11.476	0.671	12.667	532	0.841	12.667	11.476	482	0.583	11.476	0.693	38.167	1603	1.243	38.167	58.595	2461	1.420	58.595	1.142
168	7.311	38.146	1564	1.189	46.310	12.238	514	0.573	12.238	0.482	15.738	661	0.974	15.738	12.238	514	0.573	12.238	0.588	46.310	1945	1.443	46.310	56.571	2376	1.370	56.571	0.949
169	6.412	32.171	1126	1.044	39.381	13.286	558	0.662	13.286	0.634	13.286	558	0.867	13.286	13.286	558	0.662	13.286	0.763	39.381	1654	1.278	39.381	51.762	2174	1.248	51.762	0.976
170	7.454	34.282	1337	1.080	40.476	12.048	506	0.575	12.048	0.533	14.667	616	0.921	14.667	12.048	506	0.575	12.048	0.624	40.476	1700	1.275	40.476	50.500	2121	1.220	50.500	0.957
171	10.435	29.545	1625	0.962	34.690	11.833	497	0.605	11.833	0.629	13.024	547	0.872	13.024	11.833	497	0.605	11.833	0.694	34.690	1457	1.129	34.690	44.357	1863.000	1.063	44.357	0.941
172	11.823	30.621	1776	0.970	47.476	14.595	613	0.722	14.595	0.744	13.048	548	0.847	13.048	14.595	613	0.722	14.595	0.852	47.476	1994	1.504	47.476	43.571	1830	1.043	43.571	0.693
173	9.393	33.102	1622	1.065	33.857	16.905	710	0.849	16.905	0.797	22.619	950	1.480	22.619	16.905	710	0.849	16.905	0.574	33.857	1422.000	1.089	33.857	51.690	2171	1.235	51.690	1.134
174	10.355	42.213	1984.000	1.365	49.429	18.952	796	1.001	18.952	0.733	15.429	648	1.052	15.429	18.952	796	1.001	18.952	0.952	49.429	2076	1.598	49.429	54.357	2283	1.295	54.357	0.810
175	14.016	37.031	2370	1.202	35	18.381	772	0.955	18.381	0.795	12.333	518	0.834	12.333	18.381	772	0.955	18.381	1.145	35	1470	1.136	35	47	1974	1.122	47	0.988
176	12.828	32.350	1941	1.012	44.548	24.357	1023	1.204	24.357	1.190	15.667	658	1.010	15.667	24.357	1023	1.204	24.357	1.192	44.548	1871.000	1.394	44.548	66.952	2812	1.608	66.952	1.154
177	11.180	48.600	2916	1.536	51.595	19.929	837.000	1.015	19.929	0.660	15.619	656	1.021	15.619	19.929	837.000	1.015	19.929	0.994	51.595	2167	1.631	51.595	61.405	2579	1.507	61.405	0.924
178	9.718	43.224	2118	1.412	54.500	19.738	829	1.056	19.738	0.748	19.690	827	1.350	19.690	19.738	829	1.056	19.738	0.782	54.500	2289	1.780	54.500	73.833	3101	1.754	73.833	0.986
179	10.154	46.172	2678	1.564	44	18.143	762	0.992	18.143	0.634	11.452	481	0.805	11.452	18.143	762	0.992	18.143	1.233	44	1848	1.491	44	53.262	2237	1.247	53.262	0.837
180	8.433	44.184	1679	1.738	32.381	18.429	774.000	1.173	18.429	0.675	14.762	620	1.147	14.762	18.429	774.000	1.173	18.429	1.023	32.381	1360	1.274	32.381	46.476	1952	1.286	46.476	1.009
181	9.804	45.769	1785	1.565	42.786	17.810	748	0.966	17.810	0.617	13.405	563	0.935	13.405	17.810	748	0.966	17.810	1.034	42.786	1797	1.463	42.786	68.548	2879	1.659	68.548	1.134
182	7.601	39.758	1312	1.357	45.143	16.024	673.000	0.897	16.024	0.661	11.381	478	0.807	11.381	16.024	673.000	0.897	16.024	1.112	45.143	1896.000	1.541	45.143	70.357	2955	1.674	70.357	1.086
183	8.750	34.921	1327	1.218	27.333	12.500	525	0.713	12.500	0.586	19	798	1.377	19	12.500	525	0.713	12.500	0.518	27.333	1148	0.953	27.333	75.952	3190	1.796	75.952	1.884
184	9.068	27.896	1339	1.014	29.571	13.714	576	0.800	13.714	0.789	13.048	548	0.967	13.048	13.714	576	0.800	13.714	0.828	29.571	1242	1.075	29.571	51.571	2166	1.214	51.571	1.129
185	6.872	34.677	1075	1.262	27.619	19.476	818.000	1.149	19.476	0.910	15.048	632	1.126	15.048	19.476	818.000	1.149	19.476	1.020	27.619	1160	1.005	27.619	52.357	2199	1.221	52.357	1.215
